femaleCount = 170
maleCount = 359

f0 = {Ala}, {Ала}
f1 = {Alfdis}, {Альфдис}
f2 = {Alga}, {Алга}
f3 = {Alla}, {Алла}
f4 = {Allfrid}, {Аллфрид}
f5 = {Allgerd}, {Аллгерд}
f6 = {Arnora}, {Арнора}
f7 = {Arnorbj}, {Арнорбьи}
f8 = {Arnordi}, {Арнорди}
f9 = {Arnorfi}, {Арнорфи}
f10 = {Arnorka}, {Арнорка}
f11 = {Asa}, {Аса}
f12 = {Asaeun}, {Асэун}
f13 = {Asaeunn}, {Асэунн}
f14 = {Asgerd}, {Асгерд}
f15 = {Asgerge}, {Асгерги}
f16 = {Asgergu}, {Асгергю}
f17 = {Asleif}, {Аслейф}
f18 = {Asleig}, {Аслейг}
f19 = {Asleigd}, {Аслейгд}
f20 = {Asleigr}, {Аслейгр}
f21 = {Asleigu}, {Аслейгю}
f22 = {Asta}, {Аста}
f23 = {Astrid}, {Астрид}
f24 = {Aud}, {Од}
f25 = {Audrunn}, {Одрунн}
f26 = {Aug}, {Ог}
f27 = {Bera}, {Бера}
f28 = {Beragna}, {Берагна}
f29 = {Berd}, {Берд}
f30 = {Berdis}, {Бердис}
f31 = {Berg}, {Верг}
f32 = {Bergljot}, {Бергльёт}
f33 = {Bergthora}, {Вергтора}
f34 = {Bergunn}, {Бергунн}
f35 = {Dot}, {Дот}
f36 = {Dotta}, {Дотта}
f37 = {Frefna}, {Фрефна}
f38 = {Freyda}, {Фрейда}
f39 = {Freydis}, {Фрейдис}
f40 = {Gjaflau}, {Гьяфла}
f41 = {Gjaflaug}, {Гьяфлауг}
f42 = {Grid}, {Грид}
f43 = {Grima}, {Грима}
f44 = {Grimhild}, {Гримхильда}
f45 = {Groa}, {Гроа}
f46 = {Grodny}, {Гродни}
f47 = {Gudrid}, {Гудрид}
f48 = {Gudrun}, {Гудруна}
f49 = {Gudrunn}, {Гудрунн}
f50 = {Gunn}, {Гунн}
f51 = {Gunna}, {Гунна}
f52 = {Gunnhil}, {Гуннхиль}
f53 = {Gunnhild}, {Гуннхильда}
f54 = {Gyda}, {Гида}
f55 = {Gydigri}, {Гидигри}
f56 = {Gydis}, {Гидис}
f57 = {Hala}, {Гала}
f58 = {Halaug}, {Галауг}
f59 = {Halfrid}, {Гальфрида}
f60 = {Halga}, {Хальга}
f61 = {Halgerd}, {Хальгерда}
f62 = {Halgerg}, {Хальгерг}
f63 = {Halld}, {Халльд}
f64 = {Halldis}, {Халльдис}
f65 = {Hallfdi}, {Халльфди}
f66 = {Hallfre}, {Халльфрея}
f67 = {Hallfrid}, {Халльфрида}
f68 = {Hallga}, {Халльга}
f69 = {Hallger}, {Халльгер}
f70 = {Hallgerd}, {Халльгерда}
f71 = {Hallvei}, {Халльвей}
f72 = {Hallveig}, {Халльвейг}
f73 = {Helga}, {Хельга}
f74 = {Helgerd}, {Хельгерда}
f75 = {Heragna}, {Херагна}
f76 = {Herann}, {Херанн}
f77 = {Herd}, {Херд}
f78 = {Herdis}, {Хердис}
f79 = {Hergljo}, {Хергльё}
f80 = {Hergtho}, {Хергвё}
f81 = {Hild}, {Хильда}
f82 = {Hildigunn}, {Хильдигунна}
f83 = {Hildis}, {Хильдис}
f84 = {Hlif}, {Хлиф}
f85 = {Hrefna}, {Хрефна}
f86 = {Hreydis}, {Хрейдис}
f87 = {Hroa}, {Хроа}
f88 = {Hrodhil}, {Хродхиль}
f89 = {Hrodny}, {Хродни}
f90 = {Ingibjo}, {Ингибьё}
f91 = {Ingibjorg}, {Ингибьёрг}
f92 = {Ingig}, {Ингиг}
f93 = {Ingigerd}, {Ингигерд}
f94 = {Ingigun}, {Ингигун}
f95 = {Ingirid}, {Ингирид}
f96 = {Ingirim}, {Ингирим}
f97 = {Ingrid}, {Ингрид}
f98 = {Ingudri}, {Ингудри}
f99 = {Ingunn}, {Ингунн}
f100 = {Ingunna}, {Ингунна}
f101 = {Inn}, {Инн}
f102 = {Inna}, {Инна}
f103 = {Innveif}, {Иннвейф}
f104 = {Innveig}, {Иннвейг}
f105 = {Jorgerd}, {Йоргерд}
f106 = {Jorhala}, {Йогхала}
f107 = {Jorkatl}, {Йоркатль}
f108 = {Jorunn}, {Йорунн}
f109 = {Jot}, {Йот}
f110 = {Jotta}, {Йотта}
f111 = {Katla}, {Катла}
f112 = {Katlaud}, {Катлауд}
f113 = {Katlaug}, {Катлауг}
f114 = {Ragna}, {Рагна}
f115 = {Ragnhild}, {Рагнахильда}
f116 = {Rann}, {Ранн}
f117 = {Ranna}, {Ранна}
f118 = {Rannhil}, {Раннхил}
f119 = {Rannveig}, {Раннвейг}
f120 = {Saeunn}, {Сэунн}
f121 = {Sig}, {Сиг}
f122 = {Sigrid}, {Сигрид}
f123 = {Sigud}, {Сигуд}
f124 = {Sigunn}, {Сигунн}
f125 = {Svala}, {Свала}
f126 = {Svalga}, {Свальга}
f127 = {Svallge}, {Свалльге}
f128 = {Thjodhild}, {Тьодхильда}
f129 = {Thjorag}, {Тьораг}
f130 = {Thjorka}, {Тьорка}
f131 = {Thjorun}, {Тьорун}
f132 = {Thjot}, {Тьот}
f133 = {Thjotta}, {Тьотта}
f134 = {Thora}, {Тора}
f135 = {Thoragn}, {Торагн}
f136 = {Thorann}, {Торанн}
f137 = {Thorbjo}, {Торбьё}
f138 = {Thorbjorg}, {Торбьёрг}
f139 = {Thord}, {Торд}
f140 = {Thordis}, {Тордис}
f141 = {Thorfin}, {Торфин}
f142 = {Thorfinna}, {Торфинна}
f143 = {Thorg}, {Торг}
f144 = {Thorger}, {Торгер}
f145 = {Thorgerd}, {Торгерда}
f146 = {Thorglj}, {Торгльи}
f147 = {Thorgun}, {Торгун}
f148 = {Thorgunna}, {Торгунна}
f149 = {Thorhal}, {Торхаль}
f150 = {Thorhalla}, {Торхалла}
f151 = {Thorhil}, {Торхиль}
f152 = {Thorhild}, {Торхильд}
f153 = {Thorkat}, {Торкат}
f154 = {Thorkatla}, {Торкатла}
f155 = {Thorunn}, {Торунн}
f156 = {Thurid}, {Турид}
f157 = {Thurima}, {Турима}
f158 = {Thurimh}, {Турим}
f159 = {Thyra}, {Тюра}
f160 = {Thyragn}, {Тюрагн}
f161 = {Thyrann}, {Тюранн}
f162 = {Unn}, {Унн}
f163 = {Unnveig}, {Уннвейг}
f164 = {Vala}, {Вала}
f165 = {Valgerd}, {Валгерда}
f166 = {Vallvei}, {Валльвей}
f167 = {Vig}, {Виг}
f168 = {Vigdis}, {Вигдис}
f169 = {Vigroa}, {Вигроа}

m0 = {Aki}, {Аки}
m1 = {Aldgrin}, {Альдгрин}
m2 = {Alf}, {Альф}
m3 = {Alfgeir}, {Альфгейр}
m4 = {All}, {Алл}
m5 = {Allum}, {Аллум}
m6 = {Amundi}, {Амунди}
m7 = {Ardi}, {Арди}
m8 = {Ari}, {Ари}
m9 = {Arkel}, {Аркель}
m10 = {Arlend}, {Арленд}
m11 = {Arlsefn}, {Арлсефни}
m12 = {Armod}, {Армод}
m13 = {Arn}, {Арн}
m14 = {Arnfin}, {Арнфин}
m15 = {Arnfinn}, {Арнфинн}
m16 = {Arnlaug}, {Арнлауг}
m17 = {Arnor}, {Арнор}
m18 = {Aslak}, {Аслак}
m19 = {Aslend}, {Асленд}
m20 = {Asteind}, {Астейнд}
m21 = {Bar}, {Бар}
m22 = {Bardi}, {Барди}
m23 = {Barim}, {Барим}
m24 = {Barnorb}, {Барнорб}
m25 = {Beif}, {Бейф}
m26 = {Bein}, {Бейн}
m27 = {Bergthor}, {Бергтор}
m28 = {Berls}, {Берлс}
m29 = {Bersi}, {Берси}
m30 = {Bjalf}, {Бьялф}
m31 = {Bjallum}, {Бьяллум}
m32 = {Bjarni}, {Бьярни}
m33 = {Bjorn}, {Бьёрн}
m34 = {Bodolak}, {Бодолак}
m35 = {Bodvand}, {Бодванд}
m36 = {Bodvar}, {Бодвар}
m37 = {Bogi}, {Боги}
m38 = {Bognvar}, {Богнвар}
m39 = {Borgeir}, {Боргейр}
m40 = {Bork}, {Борк}
m41 = {Bormunn}, {Бормунн}
m42 = {Bornolb}, {Борнольб}
m43 = {Borstei}, {Борстей}
m44 = {Bot}, {Бот}
m45 = {Botolf}, {Ботольф}
m46 = {Botoste}, {Ботосте}
m47 = {Bran}, {Бран}
m48 = {Brand}, {Бранд}
m49 = {Brarim}, {Брарим}
m50 = {Brarm}, {Брарм}
m51 = {Bui}, {Буи}
m52 = {Egi}, {Эги}
m53 = {Egil}, {Эгил}
m54 = {Eif}, {Эйф}
m55 = {Ein}, {Эйн}
m56 = {Einar}, {Эйнар}
m57 = {Eindridi}, {Эйндриди}
m58 = {Eingval}, {Эйнгвал}
m59 = {Eir}, {Ейр}
m60 = {Eiri}, {Эйри}
m61 = {Eirik}, {Эйрик}
m62 = {Eldgrim}, {Эльдгрим}
m63 = {Elgarka}, {Эльгарка}
m64 = {Erlend}, {Эрленд}
m65 = {Ersi}, {Эрси}
m66 = {Ersteif}, {Эрстейф}
m67 = {Eyjolf}, {Эйёльф}
m68 = {Eyjoste}, {Эйёсте}
m69 = {Eystein}, {Эйстейн}
m70 = {Eysteir}, {Эйрстейр}
m71 = {Eyvin}, {Эйвин}
m72 = {Eyvind}, {Эйвинд}
m73 = {Eyvingj}, {Эйвингьи}
m74 = {Eyvir}, {Эйвир}
m75 = {Fin}, {Фин}
m76 = {Fingolf}, {Фингольф}
m77 = {Finn}, {Финн}
m78 = {Finnbogi}, {Финнбоги}
m79 = {Frek}, {Фрек}
m80 = {Fridgeir}, {Фридгейр}
m81 = {Frim}, {Фрим}
m82 = {Gardi}, {Гарди}
m83 = {Geif}, {Гейф}
m84 = {Geigulf}, {Гейгульф}
m85 = {Gein}, {Гейн}
m86 = {Geinare}, {Гейнари}
m87 = {Geir}, {Гейр}
m88 = {Geiri}, {Гейри}
m89 = {Geirmod}, {Гейрмод}
m90 = {Geirmund}, {Гейрмунд}
m91 = {Geirstein}, {Гейрстейн}
m92 = {Gest}, {Гест}
m93 = {Gestein}, {Гестейн}
m94 = {Gizur}, {Гизур}
m95 = {Glug}, {Глуг}
m96 = {Glum}, {Глум}
m97 = {Grani}, {Грани}
m98 = {Gri}, {Гри}
m99 = {Grim}, {Грим}
m100 = {Gudmund}, {Гудмунд}
m101 = {Gulf}, {Гульф}
m102 = {Gulfdan}, {Гульфдан}
m103 = {Gund}, {Гунд}
m104 = {Gundin}, {Гундин}
m105 = {Gunnar}, {Гуннар}
m106 = {Gunnbjorn}, {Гуннбьорн}
m107 = {Gunnlaug}, {Гуннлауг}
m108 = {Gur}, {Гур}
